Date,Weight,BMI,Fat
2016-06-01,168.96,24.94,20.251
2016-06-02,168.63,24.89,20.109
2016-06-03,168.3,24.84,19.966
2016-06-04,168.3,24.84,20.076
2016-06-05,168.3,24.84,20.186
2016-06-06,168.3,24.84,20.296
2016-06-07,168.3,24.84,20.406
2016-06-08,168.3,24.84,20.516
2016-06-09,168.3,24.84,20.626
2016-06-10,168.3,24.84,20.736
2016-06-11,168.3,24.84,20.846
2016-06-12,168.3,24.84,20.956
2016-06-13,168.3,24.84,21.066
2016-06-14,168.3,24.84,21.186
2016-06-15,168.26,24.84,21.159
2016-06-16,168.22,24.83,21.132
2016-06-17,168.18,24.83,21.105
2016-06-18,168.15,24.82,21.078
2016-06-19,168.11,24.81,21.051
2016-06-20,168.07,24.81,21.024
2016-06-21,168.03,24.8,20.997
2016-06-22,168,24.8,20.97
2016-06-23,167.96,24.79,20.943
2016-06-24,167.92,24.79,20.91
2016-06-25,167.84,24.77,20.921
2016-06-26,167.76,24.76,20.932
2016-06-27,167.68,24.75,20.943
2016-06-28,167.59,24.74,20.957
2016-06-29,167.59,24.74,20.957
2016-06-30,167.59,24.74,20.957
