Date,Weight,BMI,Fat
2015-01-01,161.29,23.81,18.902
2015-01-02,161.37,23.82,18.902
2015-01-03,161.46,23.83,18.902
2015-01-04,161.54,23.85,18.902
2015-01-05,161.62,23.86,18.902
2015-01-06,161.71,23.87,18.902
2015-01-07,161.79,23.88,18.902
2015-01-08,161.88,23.89,18.902
2015-01-09,161.96,23.91,18.902
2015-01-10,162.04,23.92,18.902
2015-01-11,162.13,23.93,18.902
2015-01-12,162.23,23.95,18.902
2015-01-13,160.82,23.74,19.62
2015-01-14,160.82,23.74,19.812
2015-01-15,159.87,23.6,19.503
2015-01-16,160.54,23.7,18.537
2015-01-17,161.79,23.88,18.364
2015-01-18,160.12,23.63,18.024
2015-01-19,162.03,23.92,17.968
2015-01-20,160.43,23.68,18.239
2015-01-21,161.66,23.86,18.423
2015-01-22,161.24,23.8,18.541
2015-01-23,160.2,23.65,18.375
2015-01-24,158.9,23.46,18.249
2015-01-25,159.43,23.53,18.287
2015-01-26,159.43,23.53,17.93
2015-01-27,159.19,23.5,16.875
2015-01-28,158.33,23.37,17.604
2015-01-29,158.3,23.37,17.604
2015-01-30,158.33,23.37,17.825
2015-01-31,157.6,23.26,18.434
