Date,Weight,BMI,Fat
2014-07-01,182.65,26.96,0
2014-07-02,182.59,26.95,0
2014-07-03,182.53,26.94,0
2014-07-04,182.46,26.93,0
2014-07-05,182.4,26.92,0
2014-07-06,182.34,26.92,0
2014-07-07,182.28,26.91,0
2014-07-08,182.22,26.9,0
2014-07-09,182.16,26.89,0
2014-07-10,182.09,26.88,0
2014-07-11,182.03,26.87,0
2014-07-12,181.97,26.86,0
2014-07-13,181.91,26.85,0
2014-07-14,181.85,26.84,0
2014-07-15,181.79,26.83,0
2014-07-16,181.72,26.82,0
2014-07-17,181.66,26.82,0
2014-07-18,181.6,26.81,0
2014-07-19,181.54,26.8,0
2014-07-20,181.48,26.79,0
2014-07-21,181.42,26.78,0
2014-07-22,181.35,26.77,0
2014-07-23,181.29,26.76,0
2014-07-24,181.23,26.75,0
2014-07-25,181.17,26.74,0
2014-07-26,181.11,26.73,0
2014-07-27,181.05,26.72,0
2014-07-28,180.98,26.71,0
2014-07-29,180.92,26.71,0
2014-07-30,180.86,26.7,0
2014-07-31,180.8,26.69,0
