Date,Weight,BMI,Fat
2016-08-01,167.59,24.74,0
2016-08-02,167.59,24.74,0
2016-08-03,167.59,24.74,0
2016-08-04,167.59,24.74,0
2016-08-05,167.59,24.74,0
2016-08-06,167.59,24.74,0
2016-08-07,167.59,24.74,0
2016-08-08,167.59,24.74,0
2016-08-09,167.59,24.74,0
2016-08-10,167.59,24.74,0
2016-08-11,167.59,24.74,0
2016-08-12,167.59,24.74,0
2016-08-13,167.59,24.74,0
2016-08-14,167.59,24.74,0
2016-08-15,167.59,24.74,0
2016-08-16,167.59,24.74,0
2016-08-17,167.59,24.74,0
2016-08-18,167.59,24.74,0
2016-08-19,167.59,24.74,0
2016-08-20,167.59,24.74,0
2016-08-21,167.59,24.74,0
2016-08-22,167.59,24.74,0
2016-08-23,167.59,24.74,0
2016-08-24,167.59,24.74,0
2016-08-25,167.59,24.74,0
2016-08-26,167.59,24.74,0
2016-08-27,167.59,24.74,0
2016-08-28,167.59,24.74,0
2016-08-29,167.59,24.74,0
2016-08-30,167.59,24.74,0
2016-08-31,167.59,24.74,0
