Date,Weight,BMI,Fat
2014-10-01,181.16,26.74,23.461
2014-10-02,181.12,26.73,23.461
2014-10-03,181.07,26.73,23.461
2014-10-04,181.03,26.72,23.461
2014-10-05,180.99,26.72,23.461
2014-10-06,180.51,26.64,23.461
2014-10-07,181.04,26.72,23.447
2014-10-08,180.73,26.68,23.926
2014-10-09,180.09,26.58,24.378
2014-10-10,181.3,26.76,23.902
2014-10-11,179.61,26.51,23.545
2014-10-12,178.7,26.38,22.867
2014-10-13,177.82,26.25,22.952
2014-10-14,179.34,26.47,23.142
2014-10-15,178.37,26.33,23.347
2014-10-16,179.27,26.46,23.215
2014-10-17,176.19,26.01,22.854
2014-10-18,176.45,26.05,23.158
2014-10-19,176.98,26.12,22.954
2014-10-20,175.39,25.89,22.691
2014-10-21,176.19,26.01,22.545
2014-10-22,177.45,26.19,21.851
2014-10-23,174.73,25.79,21.434
2014-10-24,174.16,25.71,21.69
2014-10-25,174.98,25.83,21.75
2014-10-26,172.88,25.52,21.604
2014-10-27,173.48,25.61,20.822
2014-10-28,173.51,25.61,20.784
2014-10-29,173.53,25.62,20.746
2014-10-30,173.56,25.62,20.708
2014-10-31,173.56,25.62,19.981
