Date,Weight,BMI,Fat
2015-03-01,151.61,22.38,16.983
2015-03-02,150.9,22.27,16.625
2015-03-03,149.29,22.04,16.902
2015-03-04,149.29,22.04,16.141
2015-03-05,148.7,21.95,16.11
2015-03-06,148.7,21.95,15.913
2015-03-07,149.56,22.08,15.746
2015-03-08,148.01,21.85,15.531
2015-03-09,148.01,21.85,15.526
2015-03-10,148.01,21.85,15.796
2015-03-11,148.01,21.85,15.829
2015-03-12,146.6,21.64,15.704
2015-03-13,146.99,21.7,15.767
2015-03-14,147.38,21.75,15.83
2015-03-15,147.77,21.81,15.893
2015-03-16,148.15,21.87,15.956
2015-03-17,148.54,21.93,16.019
2015-03-18,148.93,21.98,16.082
2015-03-19,149.32,22.04,16.145
2015-03-20,149.71,22.1,16.208
2015-03-21,150.09,22.16,16.271
2015-03-22,150.48,22.21,16.334
2015-03-23,150.88,22.27,16.399
2015-03-24,150.88,22.27,17.016
2015-03-25,150.99,22.29,17.016
2015-03-26,151.11,22.31,17.016
2015-03-27,151.22,22.32,17.016
2015-03-28,151.34,22.34,17.016
2015-03-29,151.45,22.36,17.016
2015-03-30,151.57,22.37,17.016
2015-03-31,151.68,22.39,17.016
