Date,Weight,BMI,Fat
2015-10-01,160.16,23.64,17.396
2015-10-02,159.94,23.61,17.396
2015-10-03,159.73,23.58,17.48
2015-10-04,159.52,23.55,17.565
2015-10-05,159.39,23.53,17.616
2015-10-06,159.26,23.51,17.667
2015-10-07,159.12,23.49,17.718
2015-10-08,159.18,23.5,17.738
2015-10-09,159.24,23.51,17.758
2015-10-10,159.3,23.51,17.778
2015-10-11,159.36,23.52,17.798
2015-10-12,159.42,23.53,17.818
2015-10-13,159.48,23.54,17.838
2015-10-14,159.54,23.55,17.864
2015-10-15,157.16,23.2,17.879
2015-10-16,157.29,23.22,17.903
2015-10-17,157.41,23.24,17.927
2015-10-18,157.54,23.25,17.951
2015-10-19,157.67,23.27,17.975
2015-10-20,157.79,23.29,17.999
2015-10-21,157.92,23.31,18.023
2015-10-22,158.04,23.33,18.047
2015-10-23,158.18,23.35,18.076
2015-10-24,158.18,23.35,18.225
2015-10-25,158.18,23.35,18.374
2015-10-26,158.21,23.35,18.412
2015-10-27,158.25,23.36,18.45
2015-10-28,158.29,23.37,18.488
2015-10-29,158.33,23.37,18.526
2015-10-30,158.36,23.38,18.564
2015-10-31,158.4,23.38,18.602
